age,study_hours_per_day,deep_work_sessions,assignment_completion_rate,attendance_percentage,social_media_hours,doomscrolling_before_sleep,notification_distractions,ai_tool_usage_hours,gaming_hours,stress_level,motivation_level,focus_score,procrastination_index,sleep_hours,caffeine_intake,physical_activity_hours,internet_quality,family_support,financial_stress,productivity_after_midnight,revision_efficiency,burnout_risk,consistency_score,final_exam_score,gender_Male,city_type_Semi-Urban,city_type_Urban,mental_state_Burnout,mental_state_Distracted,mental_state_Focused,learning_style_Practical,learning_style_Reading,learning_style_Visual,career_goal_Business,career_goal_Engineering,career_goal_Medical,career_goal_Research
15,1.7,5,87,74,2.5,1,108,1.7,2.9,7,5,6.0,7,6.6,2,0.5,5,6,9,5,1,4,5,16,1,0,1,1,0,0,0,0,1,0,0,0,1
21,3.9,3,72,79,2.4,1,73,1.6,1.5,10,10,3.0,10,7.1,7,1.3,4,8,7,2,1,4,8,47,0,1,0,0,1,0,0,1,0,0,0,0,0
17,3.1,2,82,86,6.2,1,16,1.9,1.8,10,2,3.0,2,5.9,7,1.2,10,10,10,2,3,9,7,29,0,1,0,0,0,0,1,0,0,1,0,0,0
22,3.0,3,64,70,3.1,0,105,2.0,3.1,1,3,4.0,2,7.2,0,0.5,5,1,7,7,9,3,9,89,1,0,1,0,0,1,1,0,0,0,0,0,0
15,3.5,0,61,62,7.9,0,63,1.9,1.8,4,3,10.0,5,6.7,3,0.4,5,4,5,7,9,7,5,45,1,1,0,0,0,0,0,0,0,1,0,0,0
19,4.0,2,62,78,1.8,1,80,1.2,3.3,1,6,7.0,8,7.1,1,1.7,2,5,5,6,3,8,1,38,1,1,0,0,0,0,0,0,1,0,1,0,0
15,3.0,6,58,93,5.0,1,58,0.5,3.2,3,7,3.0,2,5.7,3,1.0,8,9,7,1,3,9,1,41,1,0,0,0,1,0,1,0,0,0,0,0,0
19,2.7,7,93,70,3.7,1,22,1.6,1.3,1,5,6.0,6,5.8,2,0.9,5,8,10,4,10,8,10,83,0,0,0,0,0,1,1,0,0,0,0,0,0
19,4.5,0,92,69,5.8,0,81,0.6,2.7,3,6,2.0,3,7.4,1,2.2,10,8,2,5,7,8,1,59,1,0,1,0,0,1,0,0,1,0,0,0,1
15,6.3,2,60,75,3.5,1,31,1.4,1.0,9,3,1.0,5,6.6,7,1.2,5,5,6,3,5,7,5,32,0,1,0,0,1,0,0,1,0,0,0,0,0
17,3.5,5,40,100,0.6,1,49,0.1,2.8,1,8,2.0,8,6.5,5,0.7,6,3,2,1,6,5,9,48,0,1,0,1,0,0,0,1,0,0,1,0,0
19,7.8,4,53,51,3.3,1,54,1.5,0.0,3,2,4.0,9,8.2,5,1.7,7,10,3,1,5,4,10,57,1,0,1,0,1,0,1,0,0,0,0,0,1
15,3.6,1,45,51,0.5,1,81,1.9,0.0,3,9,7.0,7,4.4,7,2.2,8,4,8,4,8,9,3,29,1,0,1,1,0,0,0,0,0,0,0,1,0
17,5.6,2,60,54,1.1,1,26,0.2,0.0,2,1,10.0,9,6.3,1,1.4,8,1,10,4,1,8,1,41,0,1,0,0,0,0,0,0,1,1,0,0,0
18,3.2,5,53,75,1.2,0,32,0.9,0.0,10,8,3.0,7,7.5,2,1.4,2,10,6,3,3,9,7,45,1,0,1,0,0,1,0,0,1,0,0,1,0
23,3.9,0,78,71,1.8,0,21,1.1,1.5,10,3,9.0,2,4.0,6,2.3,8,8,1,3,10,9,5,69,0,0,0,0,0,0,0,0,1,0,0,1,0
20,4.3,2,95,94,4.3,0,74,0.1,2.8,6,5,6.0,6,5.7,2,0.6,8,7,9,7,3,3,8,73,1,0,1,0,0,1,0,1,0,0,0,1,0
18,5.4,6,45,98,5.7,1,66,1.4,2.1,8,10,3.0,5,7.4,5,1.5,1,10,6,5,4,3,1,35,1,0,1,1,0,0,1,0,0,1,0,0,0
19,5.5,0,76,58,2.1,0,21,1.4,0.5,6,7,3.0,1,7.0,1,1.5,5,8,9,2,3,3,1,61,1,1,0,0,0,0,0,1,0,0,0,0,1
22,6.4,2,80,86,2.3,1,89,1.1,1.1,10,4,9.0,10,5.7,0,0.6,8,3,6,1,7,1,9,96,1,0,0,0,0,1,1,0,0,0,0,1,0
21,2.9,7,90,88,3.1,1,55,0.0,0.9,3,8,10.0,4,7.1,3,2.0,7,4,6,9,1,5,7,62,0,1,0,1,0,0,1,0,0,0,0,0,0
15,3.4,5,77,62,2.6,1,33,0.5,0.5,4,2,3.0,3,10.0,3,0.0,5,4,10,8,6,6,8,63,0,0,0,0,0,1,1,0,0,0,0,0,0
22,7.7,6,79,92,3.2,0,80,2.7,3.0,10,9,6.0,3,6.7,5,1.1,7,1,5,5,10,4,6,94,0,0,1,0,1,0,0,1,0,0,0,0,0
17,5.4,7,54,70,5.1,0,78,0.8,0.5,9,10,6.0,2,4.5,6,2.0,1,3,6,8,9,7,4,50,0,1,0,1,0,0,0,0,0,0,0,0,1
22,5.6,2,61,75,2.0,0,32,1.6,0.0,1,4,9.0,1,7.8,6,1.1,8,1,7,1,7,3,8,93,1,0,1,0,1,0,0,0,1,1,0,0,0
15,4.2,4,68,79,3.5,1,5,2.7,1.6,2,6,1.0,2,8.3,5,0.1,1,8,7,7,3,10,10,44,0,1,0,1,0,0,0,1,0,0,0,0,1
16,3.5,3,71,99,2.9,1,11,1.4,2.0,7,3,8.0,7,6.6,2,0.9,3,1,8,2,3,8,8,44,1,1,0,0,0,1,1,0,0,0,0,0,0
21,2.6,0,62,70,0.5,1,6,3.3,2.3,10,2,3.0,7,7.4,6,1.6,6,9,2,5,3,4,10,18,0,1,0,1,0,0,1,0,0,0,0,1,0
22,4.2,2,85,72,1.5,1,100,1.1,1.9,9,8,2.0,9,5.8,2,0.7,4,10,10,2,7,5,6,37,0,1,0,0,0,1,0,1,0,0,1,0,0
23,4.8,5,97,61,3.4,0,16,2.5,1.9,10,1,10.0,5,9.3,3,0.7,2,6,1,3,5,4,3,75,0,1,0,0,1,0,0,0,1,0,0,0,0
19,3.7,3,88,88,4.8,0,108,0.6,5.9,8,6,6.0,5,4.4,6,0.9,4,3,3,4,1,2,9,59,1,0,0,0,1,0,0,0,0,0,0,0,1
23,4.4,7,56,50,6.0,0,46,1.5,0.8,2,5,3.0,6,6.4,1,0.8,1,1,10,9,7,1,8,55,1,1,0,0,1,0,0,0,0,1,0,0,0
19,5.2,7,45,57,4.4,0,29,1.8,3.1,10,9,10.0,10,5.0,6,3.1,5,7,9,3,8,2,7,65,0,0,1,0,1,0,0,0,0,0,1,0,0
17,5.2,1,98,91,5.0,0,28,2.8,1.3,2,3,5.0,8,6.1,1,0.8,8,1,4,6,9,2,1,64,0,0,0,0,1,0,1,0,0,0,1,0,0
16,5.1,2,98,88,3.1,0,50,2.7,1.0,5,9,8.0,9,6.0,6,2.2,4,5,1,1,3,8,2,61,1,1,0,0,0,1,0,1,0,1,0,0,0
23,2.8,7,40,95,1.6,1,63,1.2,1.8,8,8,2.0,9,5.5,6,1.1,5,3,10,2,9,10,9,49,1,0,0,0,1,0,0,0,0,0,0,1,0
20,4.8,6,88,58,4.8,1,103,2.1,5.7,10,3,2.0,2,5.5,7,1.4,3,6,8,9,9,4,5,56,0,1,0,0,0,1,1,0,0,0,0,1,0
23,3.4,6,79,74,1.7,0,92,1.6,1.6,2,6,5.0,5,6.6,4,1.0,3,10,3,8,8,2,8,96,1,0,1,0,0,0,1,0,0,1,0,0,0
15,4.4,7,67,82,3.5,1,63,1.9,3.1,9,5,10.0,4,8.2,6,1.5,5,10,9,3,7,10,10,60,1,0,1,0,1,0,1,0,0,0,1,0,0
16,5.0,5,52,78,2.9,0,17,0.9,2.3,1,8,2.0,8,6.6,4,0.8,7,10,9,2,5,6,4,42,1,0,1,1,0,0,0,0,0,0,1,0,0
18,3.3,2,56,61,3.3,1,26,1.3,4.8,6,10,8.0,2,6.9,6,0.6,1,6,3,10,7,10,2,42,1,0,1,0,0,0,0,1,0,1,0,0,0
21,0.7,4,68,60,4.7,0,31,2.8,0.0,10,6,2.0,3,5.8,7,1.3,2,8,9,1,5,8,2,20,0,0,0,0,0,0,0,0,1,0,0,0,0
18,4.8,1,42,69,2.6,0,50,3.1,4.3,4,4,9.0,6,5.8,5,0.6,6,5,5,2,8,8,1,54,1,1,0,0,0,1,0,0,1,1,0,0,0
20,0.5,7,50,94,3.4,0,55,2.0,1.6,9,6,6.0,4,6.0,0,0.8,1,2,1,1,9,1,4,60,0,0,0,0,0,0,0,1,0,0,0,0,0
21,4.3,5,97,99,1.4,1,19,1.0,1.3,1,8,3.0,6,8.5,6,2.1,9,2,8,8,2,4,7,75,0,0,0,0,0,0,1,0,0,0,0,1,0
20,7.0,1,42,90,2.7,1,86,0.3,0.5,7,5,7.0,3,5.9,3,2.4,6,5,8,9,3,10,3,59,1,0,0,0,0,1,0,0,0,0,0,0,1
20,5.6,6,97,73,2.8,1,24,2.9,3.1,4,8,2.0,1,9.6,1,1.3,5,2,4,2,2,4,6,75,1,0,0,0,1,0,0,0,1,0,0,1,0
19,2.0,6,72,84,2.3,0,98,2.9,1.2,2,7,5.0,5,5.7,5,0.0,8,7,9,4,2,7,6,45,1,1,0,1,0,0,0,1,0,0,0,0,0
23,2.1,7,51,85,4.7,1,49,0.7,0.9,10,3,6.0,10,8.8,0,0.5,1,5,4,8,1,9,6,31,1,0,0,0,0,0,1,0,0,0,0,0,0
22,5.8,3,86,64,5.4,1,24,3.8,1.9,5,4,10.0,1,6.5,6,0.5,5,1,1,3,10,4,5,69,0,0,1,1,0,0,0,0,1,0,0,0,0
16,1.7,2,89,72,3.8,0,48,0.4,2.1,4,2,10.0,7,6.0,6,0.7,8,6,5,6,2,1,7,55,0,0,0,0,0,0,0,0,1,0,0,1,0
16,4.3,1,56,75,3.3,1,80,2.6,2.3,4,1,1.0,3,6.2,6,0.1,5,9,10,2,2,6,9,48,1,1,0,0,1,0,0,0,0,0,0,0,0
23,4.5,4,70,90,3.6,0,79,1.3,3.4,4,6,3.0,6,7.4,0,0.7,8,6,7,9,5,1,10,85,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2.7,0,88,81,1.1,1,94,0.9,0.2,10,2,9.0,3,6.9,4,1.0,6,5,10,9,5,2,5,75,0,0,1,0,0,1,0,0,0,1,0,0,0
18,6.1,5,85,99,3.8,1,112,2.3,2.4,9,4,3.0,4,6.3,1,1.4,4,5,4,3,8,10,4,44,0,1,0,0,1,0,0,0,1,0,0,1,0
23,6.3,5,50,56,1.5,1,17,2.1,1.1,1,10,10.0,8,5.4,3,0.3,6,1,8,10,7,6,6,70,0,0,0,0,1,0,0,1,0,0,0,0,0
23,4.9,7,97,91,4.7,0,76,1.8,4.3,5,4,2.0,8,6.1,1,2.0,9,2,3,4,10,1,7,58,0,0,1,1,0,0,0,0,0,1,0,0,0
16,4.5,0,94,70,4.8,1,36,3.1,0.0,9,9,2.0,3,7.4,6,0.4,6,7,9,1,7,8,3,65,0,1,0,0,0,1,0,0,0,0,0,0,1
20,1.6,5,75,89,3.8,0,105,0.4,0.9,9,7,4.0,1,7.1,3,1.8,5,8,6,8,2,3,6,59,0,1,0,0,0,1,0,1,0,0,0,0,1
20,1.7,5,41,72,0.8,1,39,0.2,1.6,8,6,10.0,4,8.6,4,1.4,9,7,10,9,7,1,8,62,1,0,0,0,0,1,0,0,0,0,0,1,0
21,2.4,4,59,89,2.5,0,112,2.3,0.3,4,6,6.0,2,7.0,4,1.3,6,4,2,4,1,7,2,49,1,1,0,0,0,1,0,0,0,0,0,0,0
16,1.7,2,96,58,5.0,1,66,1.5,5.2,7,6,3.0,6,5.1,2,2.4,4,10,1,10,6,2,3,50,1,0,0,0,0,0,1,0,0,1,0,0,0
20,3.5,5,48,64,2.3,0,25,2.2,2.2,2,9,6.0,1,6.5,5,1.7,6,4,3,3,9,6,9,76,1,1,0,0,1,0,1,0,0,0,0,0,0
19,4.5,1,43,74,2.8,0,16,1.4,1.9,4,2,6.0,2,7.1,3,0.0,5,3,2,10,9,2,2,53,0,0,0,0,1,0,0,0,1,0,0,0,0
22,3.1,0,74,70,0.4,1,77,0.8,3.3,7,1,4.0,4,4.7,3,1.7,4,6,7,2,5,4,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.3,4,61,54,3.0,1,95,1.3,4.1,5,10,7.0,10,6.0,7,0.0,5,10,2,5,5,2,5,40,1,1,0,0,1,0,0,0,1,0,0,1,0
18,1.9,2,60,75,1.9,1,72,1.1,2.8,2,8,3.0,9,7.7,1,1.3,5,10,1,9,1,8,9,27,1,0,0,1,0,0,0,1,0,1,0,0,0
22,3.4,4,67,60,0.0,1,90,1.4,4.0,7,8,3.0,5,8.4,7,1.0,8,8,9,7,1,3,8,56,1,0,1,0,0,0,1,0,0,0,0,1,0
15,2.0,2,91,64,1.5,1,87,0.5,2.8,10,5,5.0,6,5.6,5,1.7,1,8,8,9,9,2,2,44,0,1,0,0,0,1,0,0,1,0,0,0,0
21,3.8,5,89,59,2.0,0,108,2.4,1.9,2,10,1.0,8,5.3,1,0.5,10,9,2,6,4,4,5,53,0,0,1,0,0,1,1,0,0,0,0,1,0
17,4.5,2,97,81,4.2,0,98,1.3,2.4,5,8,8.0,7,7.8,0,0.4,6,2,2,5,4,2,3,76,1,1,0,0,0,1,0,0,0,0,0,1,0
20,2.6,2,76,82,0.2,0,23,1.6,3.5,5,8,10.0,10,6.7,7,1.5,3,1,4,8,3,10,2,54,1,0,0,0,1,0,0,1,0,1,0,0,0
23,6.5,6,66,76,3.6,0,70,2.7,1.1,4,4,6.0,10,5.6,1,1.5,5,9,4,3,7,6,8,50,0,0,0,1,0,0,0,0,1,1,0,0,0
18,4.0,3,49,73,2.3,1,106,1.1,4.5,5,10,6.0,4,5.6,3,0.6,3,8,5,10,7,4,4,83,0,0,1,0,1,0,0,1,0,1,0,0,0
22,5.5,6,99,68,3.9,1,53,0.5,2.6,8,10,6.0,5,6.6,7,2.2,4,7,1,7,1,2,4,67,0,1,0,1,0,0,1,0,0,1,0,0,0
20,5.3,3,59,97,3.8,0,51,0.6,1.4,9,10,5.0,9,7.8,3,0.0,1,6,6,1,3,5,3,41,1,0,1,0,1,0,1,0,0,1,0,0,0
17,5.5,4,76,69,2.7,1,53,2.2,1.8,4,6,10.0,4,6.6,3,1.1,6,9,6,9,4,8,9,74,0,0,0,0,0,0,1,0,0,0,0,0,0
17,3.7,6,67,63,1.7,0,58,0.6,3.7,6,9,6.0,8,6.2,2,1.1,1,7,6,2,8,4,8,60,1,0,0,0,1,0,0,0,1,0,0,0,1
21,5.7,7,53,86,2.4,1,62,0.7,2.9,1,3,3.0,9,5.8,0,2.3,7,6,7,1,1,8,2,41,1,1,0,0,1,0,0,0,0,0,0,0,0
16,0.6,5,85,55,2.6,0,9,2.7,1.3,3,7,6.0,8,8.9,6,2.1,10,3,3,1,7,5,4,40,1,0,1,1,0,0,0,0,1,0,0,0,1
18,4.2,7,79,70,5.4,0,83,1.2,0.0,10,10,1.0,2,6.4,7,0.4,1,10,4,3,6,7,4,43,0,1,0,0,0,1,0,0,0,0,0,1,0
19,2.4,2,50,61,0.3,1,96,1.7,0.8,8,7,9.0,8,7.6,1,1.4,2,7,3,3,2,8,6,36,0,0,0,0,1,0,0,0,1,0,0,0,1
15,3.9,7,99,97,2.5,0,111,2.5,1.1,6,3,9.0,7,6.4,6,1.4,5,5,2,4,6,10,7,73,0,1,0,0,1,0,1,0,0,0,0,1,0
18,2.8,0,59,83,2.2,1,103,0.2,2.5,4,6,2.0,6,6.1,2,1.2,9,5,8,2,6,3,10,61,0,0,0,0,0,0,1,0,0,1,0,0,0
22,4.4,2,91,83,2.3,1,45,0.7,2.9,9,7,6.0,1,6.4,6,2.0,3,1,4,2,2,3,8,74,0,0,1,0,1,0,0,0,1,0,0,1,0
21,2.5,6,42,53,2.5,1,19,1.9,3.5,4,1,7.0,9,4.9,2,1.7,7,2,8,6,4,5,8,38,1,1,0,0,0,0,1,0,0,0,0,0,0
18,3.9,5,65,87,2.5,0,91,1.9,1.0,3,3,10.0,3,7.6,3,0.6,3,4,8,6,5,4,8,64,0,0,0,0,0,0,0,0,1,1,0,0,0
19,4.8,2,80,63,4.4,1,45,3.2,3.9,3,2,5.0,5,6.6,4,0.4,1,5,9,9,4,3,1,36,1,0,1,0,1,0,0,1,0,0,1,0,0
15,2.3,2,65,78,2.8,0,26,3.1,4.0,4,9,3.0,4,5.5,3,1.3,6,3,6,2,8,2,7,72,0,0,0,0,0,0,0,0,1,0,1,0,0
16,3.7,0,100,61,4.2,1,87,1.7,1.7,8,3,4.0,8,4.0,0,0.8,1,8,4,1,10,7,5,38,1,1,0,0,0,0,0,1,0,0,0,1,0
20,3.8,4,88,90,4.0,1,21,1.2,0.8,7,7,9.0,7,8.8,2,1.0,1,8,3,8,8,5,1,58,1,1,0,0,0,0,0,0,1,0,0,1,0
21,4.2,0,86,69,1.9,0,98,1.8,2.9,5,3,8.0,4,7.8,0,1.4,9,10,2,3,10,2,3,85,1,0,0,0,0,1,0,0,1,0,0,0,1
20,4.7,4,41,78,1.4,0,42,2.1,3.4,3,1,7.0,10,6.3,7,0.0,9,6,5,6,2,4,3,40,1,0,1,0,0,0,0,0,1,0,0,0,1
20,2.8,1,69,93,3.8,1,32,2.0,4.2,7,8,10.0,9,7.0,5,1.8,7,2,8,5,7,4,5,61,1,1,0,0,1,0,0,1,0,0,0,1,0
15,3.8,1,99,67,3.6,0,96,1.9,4.0,1,6,5.0,8,5.0,3,0.5,6,1,4,1,2,5,8,59,1,1,0,0,0,0,0,0,0,0,0,1,0
18,4.6,1,66,95,2.9,1,110,1.1,0.0,5,10,5.0,10,5.4,4,0.0,3,7,6,4,2,9,1,14,0,0,0,1,0,0,0,0,1,0,0,1,0
18,7.9,4,61,72,0.3,1,55,2.6,1.3,3,10,1.0,5,5.0,3,0.3,7,4,3,1,8,3,2,57,1,0,0,0,0,1,0,1,0,1,0,0,0
16,3.6,7,61,73,1.2,0,89,2.0,2.1,5,4,6.0,3,6.4,6,1.2,6,5,6,7,5,1,8,98,0,0,0,0,0,1,1,0,0,0,0,0,0
20,3.8,7,83,93,1.2,1,56,1.8,3.6,10,4,6.0,1,4.3,2,2.5,9,3,2,1,3,5,2,77,1,0,1,0,0,0,1,0,0,0,0,0,1
17,2.2,7,48,57,2.7,1,117,2.6,0.5,6,3,5.0,7,5.5,7,2.8,5,2,9,8,3,8,9,26,0,0,1,1,0,0,1,0,0,1,0,0,0
16,5.4,6,69,56,3.8,0,71,2.2,2.8,1,5,8.0,8,7.3,6,1.9,1,4,3,2,8,7,9,63,1,0,1,1,0,0,0,1,0,0,0,0,1
20,5.5,2,74,57,3.2,0,49,1.4,0.9,2,10,6.0,2,6.9,1,1.8,2,7,3,8,7,8,7,92,1,1,0,0,1,0,1,0,0,0,0,1,0
20,3.6,0,56,90,0.0,1,34,1.6,2.4,5,3,9.0,9,3.0,1,1.1,4,8,6,4,4,2,2,56,1,0,1,0,0,1,0,0,0,0,0,1,0
20,4.8,5,43,62,3.3,0,16,1.9,0.0,2,8,2.0,9,6.5,3,0.3,1,10,10,2,6,6,1,31,0,1,0,0,0,0,0,0,1,0,0,1,0
21,2.5,5,44,93,6.7,0,68,0.8,1.5,1,3,9.0,2,6.5,6,0.5,3,3,1,6,8,3,5,65,1,0,1,1,0,0,0,1,0,1,0,0,0
23,4.2,7,94,59,2.4,1,111,0.9,2.3,1,4,9.0,9,6.6,4,2.8,5,10,1,5,6,7,9,58,1,0,1,1,0,0,0,1,0,0,0,1,0
17,3.2,0,52,67,2.8,1,105,1.8,2.5,9,9,6.0,6,6.2,4,1.3,7,2,9,8,8,7,4,22,1,1,0,1,0,0,0,0,1,0,0,0,0
19,5.7,3,79,50,2.5,1,103,2.1,3.5,6,10,5.0,5,7.1,1,0.8,9,3,6,1,6,4,8,61,0,1,0,0,0,0,0,0,0,0,0,0,1
23,4.0,5,40,69,3.8,0,32,0.6,0.9,10,6,5.0,10,7.3,1,1.5,5,6,7,5,9,1,7,39,1,0,0,0,0,1,0,0,0,0,0,0,0
19,4.4,3,52,56,3.5,0,36,2.3,2.3,9,8,8.0,6,6.8,2,0.7,9,2,2,7,10,4,10,73,0,1,0,0,1,0,1,0,0,0,0,0,1
22,4.0,6,71,77,3.3,0,26,0.2,1.1,7,10,9.0,10,5.9,2,1.7,5,8,8,4,1,1,4,60,0,1,0,1,0,0,0,0,0,0,0,1,0
23,2.7,5,89,75,1.7,1,58,3.6,0.0,2,10,5.0,5,5.6,5,1.7,2,10,3,6,8,1,1,48,1,0,0,1,0,0,0,0,1,0,0,0,0
16,3.4,5,80,65,3.9,1,72,0.0,2.7,9,2,3.0,7,6.7,1,0.5,6,4,3,2,1,5,2,6,1,0,1,1,0,0,0,1,0,0,0,0,1
18,4.6,6,69,50,5.2,1,88,1.3,4.2,6,9,5.0,10,6.9,3,1.5,10,5,8,10,8,2,7,50,1,1,0,0,1,0,0,0,1,0,0,1,0
19,3.2,3,52,94,0.8,1,14,5.0,0.0,7,1,3.0,4,6.4,1,0.5,1,2,4,4,5,2,4,26,0,1,0,1,0,0,0,0,1,0,1,0,0
20,5.1,1,95,94,2.5,1,15,0.0,0.0,10,3,3.0,7,8.5,6,2.1,7,10,4,2,4,8,9,41,1,0,0,1,0,0,1,0,0,1,0,0,0
21,4.1,2,43,64,2.5,0,103,0.0,2.3,8,8,4.0,2,5.7,3,2.0,3,2,9,1,7,5,8,62,0,1,0,0,1,0,0,1,0,0,0,0,0
19,3.7,5,80,55,1.9,0,65,0.5,3.5,6,4,6.0,3,6.3,6,0.1,7,10,2,5,9,3,9,92,1,0,1,0,1,0,0,0,0,0,0,0,0
20,1.9,5,60,70,2.3,0,76,0.9,2.3,10,10,2.0,9,7.4,5,0.0,9,1,4,4,9,5,5,42,1,0,1,0,0,0,0,0,1,0,0,0,0
23,2.6,2,75,66,4.6,0,74,2.5,2.3,7,9,1.0,2,7.1,2,1.5,5,3,1,1,7,1,1,44,1,1,0,0,1,0,0,1,0,0,0,1,0
17,5.9,7,43,67,0.0,1,117,1.4,2.7,4,8,3.0,6,7.1,2,1.0,5,1,5,6,8,3,3,55,1,0,1,0,1,0,0,0,0,0,0,0,0
18,3.6,3,62,51,3.6,1,105,2.3,1.7,7,3,2.0,7,5.9,2,0.0,8,1,1,5,5,1,6,43,0,0,0,0,0,0,0,0,1,1,0,0,0
23,4.4,7,98,82,4.4,0,66,1.3,1.1,6,5,2.0,7,6.7,5,1.4,7,7,7,3,6,8,4,42,0,0,1,0,1,0,0,1,0,1,0,0,0
23,2.6,7,65,78,3.6,0,45,1.5,3.3,9,1,1.0,7,7.7,2,1.3,3,2,8,10,6,6,10,62,1,0,0,0,0,0,1,0,0,0,0,0,0
21,3.8,3,83,68,1.9,1,88,1.6,0.7,5,2,6.0,3,7.7,0,0.0,1,6,9,4,2,4,1,41,1,1,0,0,1,0,0,1,0,0,0,0,0
20,2.5,2,87,70,3.6,0,102,0.2,1.2,1,1,4.0,7,6.3,0,1.6,10,4,9,10,6,6,1,33,1,0,0,0,1,0,1,0,0,1,0,0,0
16,2.7,3,98,70,4.8,0,29,0.0,1.3,9,10,3.0,8,6.8,0,0.0,10,2,4,8,7,1,5,65,0,1,0,0,0,1,1,0,0,0,1,0,0
15,4.9,0,85,54,1.5,1,66,0.0,4.4,2,7,10.0,2,7.7,5,0.9,8,3,10,6,1,7,8,51,1,0,0,0,0,0,0,1,0,0,0,1,0
22,3.7,0,100,55,2.1,0,111,0.0,2.4,1,6,5.0,9,7.7,2,0.8,6,10,8,4,2,5,2,41,1,0,1,0,0,0,0,0,0,0,0,0,1
23,5.3,4,43,71,2.0,1,58,1.5,3.5,6,2,9.0,1,5.3,5,0.8,5,1,10,5,2,7,3,49,0,0,0,0,0,1,0,0,0,0,1,0,0
18,6.0,0,43,61,2.6,0,64,3.4,0.0,9,5,10.0,4,6.6,5,1.1,7,5,4,10,1,10,10,59,0,0,1,0,1,0,0,0,0,0,0,0,0
17,2.7,4,74,88,3.6,0,46,1.2,1.5,3,9,6.0,9,7.5,4,0.0,4,7,1,7,8,5,2,58,0,0,1,0,0,1,0,0,1,0,0,0,0
19,4.2,5,93,82,5.6,1,34,1.2,2.6,10,3,4.0,2,9.4,5,1.3,7,7,6,3,6,8,8,60,1,0,0,0,0,1,1,0,0,0,0,1,0
15,4.3,2,42,59,5.2,1,33,1.0,0.0,6,1,2.0,1,6.5,4,0.7,8,10,1,7,5,10,1,22,0,1,0,0,0,1,0,0,0,0,0,0,0
